nombre_barrio_vulnerable	fecha_mes	rango_etario	sexo	posible_extranjero	fallecido	cantidad
Asentamiento El Triángulo	2021-04-01	20_a_49	femenino	si	no	4
Asentamiento El Triángulo	2021-05-01	hasta_19	masculino	no	no	1
Asentamiento El Triángulo	2021-05-01	20_a_49	femenino	no	no	1
Asentamiento El Triángulo	2021-05-01	20_a_49	masculino	no	no	1
Asentamiento El Triángulo	2021-05-01	20_a_49	masculino	si	no	2
Asentamiento El Triángulo	2021-05-01	50_a_64	femenino	si	no	1
Asentamiento El Triángulo	2021-05-01	50_a_64	masculino	no	no	1
Asentamiento El Triángulo	2021-06-01	hasta_19	femenino	no	no	1
Asentamiento El Triángulo	2021-06-01	hasta_19	masculino	si	no	1
Asentamiento El Triángulo	2021-06-01	20_a_49	femenino	si	no	2
Asentamiento El Triángulo	2021-07-01	20_a_49	masculino	no	no	1
Asentamiento El Triángulo	2021-08-01	20_a_49	femenino	no	no	1
Asentamiento El Triángulo	2021-12-01	hasta_19	femenino	no	no	1
Asentamiento El Triángulo	2021-12-01	20_a_49	femenino	no	no	1
Asentamiento El Triángulo	2021-12-01	50_a_64	femenino	si	no	1
Asentamiento El Triángulo	2022-01-01	hasta_19	femenino	no	no	2
Asentamiento El Triángulo	2022-01-01	20_a_49	femenino	no	no	5
Asentamiento El Triángulo	2022-01-01	20_a_49	femenino	si	no	6
Asentamiento El Triángulo	2022-01-01	20_a_49	masculino	si	no	6
Asentamiento El Triángulo	2022-01-01	50_a_64	femenino	no	no	1
Asentamiento El Triángulo	2022-01-01	50_a_64	femenino	si	no	1
Asentamiento El Triángulo	2022-01-01	50_a_64	masculino	si	no	2
Asentamiento El Triángulo	2022-02-01	20_a_49	femenino	si	no	1
Asentamiento Hubac	2020-07-01	20_a_49	masculino	si	no	1
Asentamiento Hubac	2020-07-01	50_a_64	femenino	no	no	1
Asentamiento Hubac	2020-09-01	20_a_49	femenino	no	no	1
Asentamiento Hubac	2020-09-01	20_a_49	masculino	no	no	1
Asentamiento Hubac	2021-03-01	20_a_49	masculino	no	no	1
Asentamiento Hubac	2021-04-01	hasta_19	femenino	no	no	1
Asentamiento Hubac	2021-04-01	hasta_19	masculino	no	no	1
Asentamiento Hubac	2021-04-01	20_a_49	femenino	no	no	1
Asentamiento Hubac	2021-04-01	20_a_49	femenino	si	no	2
Asentamiento Hubac	2021-05-01	20_a_49	femenino	no	no	1
Asentamiento Hubac	2021-05-01	50_a_64	femenino	no	no	1
Asentamiento Hubac	2021-05-01	50_a_64	masculino	no	no	1
Asentamiento Hubac	2021-12-01	20_a_49	masculino	no	no	1
Asentamiento Hubac	2022-01-01	hasta_19	masculino	no	no	1
Asentamiento Hubac	2022-01-01	20_a_49	femenino	no	no	1
Asentamiento La Carbonilla	2020-05-01	hasta_19	femenino	no	no	1
Asentamiento La Carbonilla	2020-05-01	hasta_19	femenino	si	no	1
Asentamiento La Carbonilla	2020-05-01	hasta_19	masculino	si	no	1
Asentamiento La Carbonilla	2020-05-01	20_a_49	femenino	si	no	1
Asentamiento La Carbonilla	2020-05-01	20_a_49	masculino	si	no	4
Asentamiento La Carbonilla	2020-06-01	hasta_19	femenino	no	no	8
Asentamiento La Carbonilla	2020-06-01	hasta_19	femenino	si	no	9
Asentamiento La Carbonilla	2020-06-01	hasta_19	masculino	no	no	5
Asentamiento La Carbonilla	2020-06-01	hasta_19	masculino	si	no	8
Asentamiento La Carbonilla	2020-06-01	20_a_49	femenino	no	no	1
Asentamiento La Carbonilla	2020-06-01	20_a_49	femenino	si	no	11
Asentamiento La Carbonilla	2020-06-01	20_a_49	masculino	no	no	1
Asentamiento La Carbonilla	2020-06-01	20_a_49	masculino	si	no	24
Asentamiento La Carbonilla	2020-06-01	50_a_64	femenino	si	no	6
Asentamiento La Carbonilla	2020-06-01	50_a_64	masculino	no	no	1
Asentamiento La Carbonilla	2020-06-01	50_a_64	masculino	si	no	5
Asentamiento La Carbonilla	2020-06-01	65_y_mas	femenino	si	no	1
Asentamiento La Carbonilla	2020-07-01	hasta_19	femenino	no	no	3
Asentamiento La Carbonilla	2020-07-01	hasta_19	femenino	si	no	1
Asentamiento La Carbonilla	2020-07-01	hasta_19	masculino	no	no	2
Asentamiento La Carbonilla	2020-07-01	hasta_19	masculino	si	no	1
Asentamiento La Carbonilla	2020-07-01	20_a_49	femenino	no	no	1
Asentamiento La Carbonilla	2020-07-01	20_a_49	femenino	si	no	11
Asentamiento La Carbonilla	2020-07-01	20_a_49	masculino	no	no	1
Asentamiento La Carbonilla	2020-07-01	20_a_49	masculino	si	no	4
Asentamiento La Carbonilla	2020-07-01	50_a_64	femenino	si	no	1
Asentamiento La Carbonilla	2020-07-01	50_a_64	masculino	si	no	4
Asentamiento La Carbonilla	2020-07-01	65_y_mas	femenino	si	no	1
Asentamiento La Carbonilla	2020-07-01	65_y_mas	masculino	si	no	1
Asentamiento La Carbonilla	2020-08-01	hasta_19	masculino	si	no	1
Asentamiento La Carbonilla	2020-08-01	20_a_49	femenino	no	no	1
Asentamiento La Carbonilla	2020-08-01	20_a_49	femenino	si	no	1
Asentamiento La Carbonilla	2020-08-01	20_a_49	masculino	si	no	1
Asentamiento La Carbonilla	2020-08-01	50_a_64	masculino	si	no	1
Asentamiento La Carbonilla	2020-10-01	50_a_64	masculino	si	no	1
Asentamiento La Carbonilla	2020-11-01	20_a_49	masculino	si	no	1
Asentamiento La Carbonilla	2021-01-01	20_a_49	femenino	si	no	2
Asentamiento La Carbonilla	2021-01-01	50_a_64	masculino	si	no	1
Asentamiento La Carbonilla	2021-02-01	20_a_49	femenino	si	no	1
Asentamiento La Carbonilla	2021-04-01	50_a_64	femenino	no	no	1
Asentamiento La Carbonilla	2021-04-01	50_a_64	femenino	si	no	1
Asentamiento La Carbonilla	2021-05-01	hasta_19	femenino	no	no	1
Asentamiento La Carbonilla	2021-05-01	hasta_19	femenino	si	no	2
Asentamiento La Carbonilla	2021-05-01	20_a_49	femenino	si	no	1
Asentamiento La Carbonilla	2021-05-01	20_a_49	masculino	si	no	1
Asentamiento La Carbonilla	2021-06-01	20_a_49	femenino	no	no	1
Asentamiento La Carbonilla	2021-12-01	hasta_19	femenino	no	no	1
Asentamiento La Carbonilla	2021-12-01	20_a_49	masculino	si	no	1
Asentamiento La Carbonilla	2022-01-01	hasta_19	femenino	no	no	1
Asentamiento La Carbonilla	2022-01-01	hasta_19	masculino	no	no	1
Asentamiento La Carbonilla	2022-01-01	hasta_19	masculino	si	no	1
Asentamiento La Carbonilla	2022-01-01	20_a_49	femenino	no	no	1
Asentamiento La Carbonilla	2022-01-01	20_a_49	femenino	si	no	5
Asentamiento La Carbonilla	2022-01-01	20_a_49	masculino	no	no	1
Asentamiento La Carbonilla	2022-01-01	20_a_49	masculino	si	no	1
Asentamiento La Carbonilla	2022-01-01	50_a_64	femenino	si	no	1
Asentamiento La Carbonilla	2022-01-01	50_a_64	masculino	si	no	1
Asentamiento La Carbonilla	2022-01-01	65_y_mas	masculino	si	no	2
Asentamiento La Doña y el Buen Samaritano	2020-06-01	hasta_19	masculino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2020-06-01	20_a_49	femenino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2020-07-01	20_a_49	femenino	no	no	2
Asentamiento La Doña y el Buen Samaritano	2020-08-01	hasta_19	femenino	no	no	4
Asentamiento La Doña y el Buen Samaritano	2020-08-01	hasta_19	femenino	si	no	1
Asentamiento La Doña y el Buen Samaritano	2020-08-01	20_a_49	femenino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2020-08-01	20_a_49	masculino	no	no	4
Asentamiento La Doña y el Buen Samaritano	2020-10-01	20_a_49	masculino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2021-06-01	hasta_19	masculino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2021-06-01	20_a_49	femenino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2021-06-01	20_a_49	masculino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2021-12-01	20_a_49	femenino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2022-01-01	hasta_19	masculino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2022-01-01	20_a_49	femenino	no	no	1
Asentamiento La Doña y el Buen Samaritano	2022-01-01	50_a_64	femenino	no	no	1
Asentamiento La Esperanza	2020-06-01	20_a_49	femenino	si	no	2
Asentamiento La Esperanza	2020-06-01	20_a_49	masculino	si	no	1
Asentamiento La Esperanza	2020-06-01	50_a_64	femenino	si	no	1
Asentamiento La Esperanza	2020-06-01	50_a_64	masculino	si	no	1
Asentamiento La Esperanza	2020-07-01	20_a_49	masculino	no	no	1
Asentamiento La Esperanza	2020-07-01	50_a_64	femenino	no	no	1
Asentamiento La Esperanza	2020-08-01	65_y_mas	femenino	no	no	1
Asentamiento La Esperanza	2020-09-01	20_a_49	masculino	si	no	1
Asentamiento La Esperanza	2020-11-01	20_a_49	femenino	si	no	1
Asentamiento La Esperanza	2021-05-01	20_a_49	masculino	si	no	3
Asentamiento La Esperanza	2021-08-01	20_a_49	masculino	si	no	1
Asentamiento La Esperanza	2022-01-01	20_a_49	femenino	si	no	2
Asentamiento La Esperanza	2022-01-01	20_a_49	masculino	no	no	1
Asentamiento La Esperanza	2022-01-01	20_a_49	masculino	si	no	1
Asentamiento Lamadrid	2020-05-01	hasta_19	femenino	si	no	1
Asentamiento Lamadrid	2020-07-01	20_a_49	femenino	no	no	1
Asentamiento Lamadrid	2020-07-01	20_a_49	femenino	si	no	1
Asentamiento Lamadrid	2020-07-01	20_a_49	masculino	no	no	1
Asentamiento Lamadrid	2020-07-01	20_a_49	masculino	si	no	3
Asentamiento Lamadrid	2020-07-01	50_a_64	masculino	no	no	1
Asentamiento Lamadrid	2020-08-01	50_a_64	masculino	no	no	2
Asentamiento Lamadrid	2021-03-01	hasta_19	masculino	no	no	1
Asentamiento Lamadrid	2021-03-01	20_a_49	femenino	no	no	2
Asentamiento Lamadrid	2021-03-01	20_a_49	masculino	no	no	1
Asentamiento Lamadrid	2021-04-01	hasta_19	masculino	no	no	1
Asentamiento Lamadrid	2021-04-01	20_a_49	femenino	no	no	1
Asentamiento Lamadrid	2021-05-01	hasta_19	femenino	no	no	2
Asentamiento Lamadrid	2021-05-01	20_a_49	masculino	si	no	1
Asentamiento Lamadrid	2021-05-01	50_a_64	femenino	si	no	1
Asentamiento Lamadrid	2021-05-01	50_a_64	masculino	si	no	1
Asentamiento Lamadrid	2021-06-01	20_a_49	femenino	no	no	1
Asentamiento Lamadrid	2021-12-01	50_a_64	femenino	si	no	1
Asentamiento Los Arcos	2020-05-01	20_a_49	masculino	no	no	1
Asentamiento Los Arcos	2020-05-01	20_a_49	masculino	si	no	1
Asentamiento Los Arcos	2020-06-01	20_a_49	masculino	no	no	1
Asentamiento Los Arcos	2020-06-01	20_a_49	masculino	si	no	1
Asentamiento Los Arcos	2020-07-01	20_a_49	masculino	no	no	1
Asentamiento Los Arcos	2020-07-01	50_a_64	femenino	no	no	1
Asentamiento Los Arcos	2020-08-01	20_a_49	femenino	no	no	1
Asentamiento Los Arcos	2020-09-01	hasta_19	masculino	si	no	2
Asentamiento Los Arcos	2020-09-01	20_a_49	femenino	si	no	2
Asentamiento Los Arcos	2020-09-01	20_a_49	masculino	si	no	1
Asentamiento Los Arcos	2020-09-01	50_a_64	femenino	si	no	1
Asentamiento Los Arcos	2020-10-01	20_a_49	masculino	no	no	2
Asentamiento Los Arcos	2020-10-01	65_y_mas	femenino	no	no	1
Asentamiento Los Arcos	2020-11-01	50_a_64	masculino	si	no	1
Asentamiento Los Arcos	2020-12-01	20_a_49	masculino	no	no	3
Asentamiento Los Arcos	2020-12-01	50_a_64	femenino	si	no	1
Asentamiento Los Arcos	2020-12-01	50_a_64	masculino	si	no	1
Asentamiento Los Arcos	2021-01-01	20_a_49	femenino	no	no	1
Asentamiento Los Arcos	2021-01-01	20_a_49	masculino	no	no	1
Asentamiento Los Arcos	2021-01-01	65_y_mas	femenino	no	no	1
Asentamiento Los Arcos	2021-02-01	20_a_49	femenino	no	no	1
Asentamiento Los Arcos	2021-02-01	20_a_49	femenino	si	no	2
Asentamiento Los Arcos	2021-03-01	hasta_19	femenino	no	no	4
Asentamiento Los Arcos	2021-03-01	20_a_49	femenino	no	no	1
Asentamiento Los Arcos	2021-03-01	20_a_49	femenino	si	no	1
Asentamiento Los Arcos	2021-03-01	20_a_49	masculino	no	no	1
Asentamiento Los Arcos	2021-03-01	50_a_64	masculino	no	no	1
Asentamiento Los Arcos	2021-04-01	hasta_19	femenino	no	no	2
Asentamiento Los Arcos	2021-04-01	hasta_19	masculino	no	no	2
Asentamiento Los Arcos	2021-04-01	20_a_49	femenino	no	no	2
Asentamiento Los Arcos	2021-04-01	20_a_49	femenino	si	no	2
Asentamiento Los Arcos	2021-04-01	20_a_49	masculino	si	no	2
Asentamiento Los Arcos	2021-04-01	50_a_64	masculino	si	no	1
Asentamiento Los Arcos	2021-05-01	hasta_19	femenino	no	no	1
Asentamiento Los Arcos	2021-05-01	hasta_19	masculino	no	no	2
Asentamiento Los Arcos	2021-05-01	20_a_49	femenino	no	no	2
Asentamiento Los Arcos	2021-05-01	20_a_49	femenino	si	no	2
Asentamiento Los Arcos	2021-05-01	20_a_49	masculino	no	no	2
Asentamiento Los Arcos	2021-05-01	50_a_64	femenino	si	no	1
Asentamiento Los Arcos	2021-05-01	50_a_64	masculino	no	no	3
Asentamiento Los Arcos	2021-06-01	hasta_19	masculino	no	no	1
Asentamiento Los Arcos	2021-06-01	20_a_49	femenino	no	no	4
Asentamiento Los Arcos	2021-06-01	20_a_49	masculino	no	no	5
Asentamiento Los Arcos	2021-06-01	65_y_mas	femenino	si	no	1
Asentamiento Los Arcos	2021-07-01	20_a_49	femenino	no	no	1
Asentamiento Los Arcos	2021-07-01	50_a_64	masculino	no	no	1
Asentamiento Los Arcos	2021-10-01	20_a_49	femenino	si	no	1
Asentamiento Los Arcos	2021-10-01	20_a_49	masculino	no	no	1
Asentamiento Los Arcos	2021-12-01	20_a_49	femenino	no	no	2
Asentamiento Los Arcos	2021-12-01	20_a_49	masculino	no	no	2
Asentamiento Los Arcos	2021-12-01	50_a_64	femenino	no	no	2
Asentamiento Los Arcos	2022-01-01	hasta_19	femenino	no	no	3
Asentamiento Los Arcos	2022-01-01	hasta_19	masculino	no	no	5
Asentamiento Los Arcos	2022-01-01	20_a_49	femenino	no	no	19
Asentamiento Los Arcos	2022-01-01	20_a_49	femenino	si	no	7
Asentamiento Los Arcos	2022-01-01	20_a_49	masculino	no	no	15
Asentamiento Los Arcos	2022-01-01	20_a_49	masculino	si	no	5
Asentamiento Los Arcos	2022-01-01	50_a_64	femenino	no	no	2
Asentamiento Los Arcos	2022-01-01	50_a_64	masculino	no	no	1
Asentamiento Los Arcos	2022-01-01	50_a_64	masculino	si	no	1
Asentamiento Los Arcos	2022-01-01	65_y_mas	masculino	no	no	1
Asentamiento Los Pinos	2020-04-01	hasta_19	femenino	no	no	1
Asentamiento Los Pinos	2020-05-01	hasta_19	femenino	no	no	4
Asentamiento Los Pinos	2020-05-01	hasta_19	femenino	si	no	1
Asentamiento Los Pinos	2020-05-01	20_a_49	femenino	no	no	2
Asentamiento Los Pinos	2020-05-01	20_a_49	femenino	si	no	1
Asentamiento Los Pinos	2020-05-01	20_a_49	masculino	no	no	2
Asentamiento Los Pinos	2020-05-01	50_a_64	femenino	si	no	1
Asentamiento Los Pinos	2020-06-01	hasta_19	femenino	no	no	2
Asentamiento Los Pinos	2020-06-01	hasta_19	masculino	no	no	4
Asentamiento Los Pinos	2020-06-01	hasta_19	masculino	si	no	1
Asentamiento Los Pinos	2020-06-01	20_a_49	femenino	no	no	3
Asentamiento Los Pinos	2020-06-01	20_a_49	femenino	si	no	4
Asentamiento Los Pinos	2020-06-01	20_a_49	masculino	no	no	2
Asentamiento Los Pinos	2020-06-01	20_a_49	masculino	si	no	2
Asentamiento Los Pinos	2020-06-01	65_y_mas	femenino	si	no	1
Asentamiento Los Pinos	2020-07-01	hasta_19	femenino	no	no	1
Asentamiento Los Pinos	2020-07-01	hasta_19	femenino	si	no	1
Asentamiento Los Pinos	2020-07-01	hasta_19	masculino	no	no	1
Asentamiento Los Pinos	2020-07-01	20_a_49	femenino	si	no	3
Asentamiento Los Pinos	2020-07-01	20_a_49	masculino	no	no	1
Asentamiento Los Pinos	2020-07-01	20_a_49	masculino	si	no	2
Asentamiento Los Pinos	2020-07-01	50_a_64	femenino	si	no	1
Asentamiento Los Pinos	2020-08-01	hasta_19	femenino	no	no	1
Asentamiento Los Pinos	2020-08-01	hasta_19	masculino	no	no	2
Asentamiento Los Pinos	2020-08-01	20_a_49	femenino	si	no	1
Asentamiento Los Pinos	2020-09-01	hasta_19	femenino	no	no	1
Asentamiento Los Pinos	2020-09-01	hasta_19	masculino	no	no	1
Asentamiento Los Pinos	2020-09-01	20_a_49	masculino	no	no	1
Asentamiento Los Pinos	2020-10-01	hasta_19	masculino	si	no	1
Asentamiento Los Pinos	2020-11-01	20_a_49	masculino	si	no	1
Asentamiento Los Pinos	2021-02-01	20_a_49	femenino	no	no	1
Asentamiento Los Pinos	2021-02-01	50_a_64	masculino	si	no	1
Asentamiento Los Pinos	2021-03-01	20_a_49	masculino	no	no	1
Asentamiento Los Pinos	2021-03-01	50_a_64	masculino	no	no	1
Asentamiento Los Pinos	2021-04-01	hasta_19	femenino	no	no	2
Asentamiento Los Pinos	2021-04-01	hasta_19	masculino	no	no	1
Asentamiento Los Pinos	2021-04-01	20_a_49	femenino	no	no	2
Asentamiento Los Pinos	2021-04-01	20_a_49	femenino	si	no	2
Asentamiento Los Pinos	2021-04-01	20_a_49	masculino	no	no	2
Asentamiento Los Pinos	2021-04-01	20_a_49	masculino	si	no	3
Asentamiento Los Pinos	2021-04-01	50_a_64	femenino	si	no	2
Asentamiento Los Pinos	2021-05-01	hasta_19	femenino	no	no	1
Asentamiento Los Pinos	2021-05-01	20_a_49	femenino	no	no	2
Asentamiento Los Pinos	2021-05-01	20_a_49	femenino	si	no	2
Asentamiento Los Pinos	2021-05-01	20_a_49	masculino	no	no	3
Asentamiento Los Pinos	2021-05-01	50_a_64	masculino	si	no	1
Asentamiento Los Pinos	2021-05-01	65_y_mas	femenino	no	no	1
Asentamiento Los Pinos	2021-06-01	20_a_49	masculino	no	no	2
Asentamiento Los Pinos	2021-06-01	20_a_49	masculino	si	no	2
Asentamiento Los Pinos	2021-06-01	50_a_64	femenino	no	no	1
Asentamiento Los Pinos	2021-07-01	20_a_49	femenino	si	no	1
Asentamiento Los Pinos	2021-07-01	20_a_49	masculino	si	no	1
Asentamiento Los Pinos	2021-12-01	hasta_19	femenino	si	no	1
Asentamiento Los Pinos	2021-12-01	hasta_19	masculino	no	no	2
Asentamiento Los Pinos	2021-12-01	20_a_49	masculino	no	no	3
Asentamiento Los Pinos	2021-12-01	50_a_64	femenino	si	no	1
Asentamiento Los Pinos	2021-12-01	50_a_64	masculino	no	no	1
Asentamiento Los Pinos	2022-01-01	hasta_19	femenino	no	no	13
Asentamiento Los Pinos	2022-01-01	hasta_19	masculino	no	no	8
Asentamiento Los Pinos	2022-01-01	20_a_49	femenino	no	no	9
Asentamiento Los Pinos	2022-01-01	20_a_49	femenino	si	no	3
Asentamiento Los Pinos	2022-01-01	20_a_49	masculino	no	no	6
Asentamiento Los Pinos	2022-01-01	20_a_49	masculino	si	no	5
Asentamiento Los Pinos	2022-01-01	50_a_64	femenino	si	no	2
Asentamiento Los Pinos	2022-01-01	50_a_64	masculino	no	no	2
Asentamiento Los Pinos	2022-01-01	65_y_mas	femenino	no	no	1
Asentamiento Los Pinos	2022-02-01	hasta_19	femenino	no	no	1
Asentamiento Luján	2020-05-01	hasta_19	masculino	no	no	1
Asentamiento Luján	2020-06-01	20_a_49	femenino	si	no	1
Asentamiento Luján	2020-06-01	20_a_49	masculino	no	no	1
Asentamiento Luján	2020-06-01	65_y_mas	femenino	no	no	1
Asentamiento Luján	2020-06-01	65_y_mas	masculino	no	no	1
Asentamiento Luján	2020-07-01	hasta_19	masculino	no	no	1
Asentamiento Luján	2020-07-01	20_a_49	femenino	no	no	1
Asentamiento Luján	2020-07-01	50_a_64	femenino	no	no	1
Asentamiento Luján	2020-07-01	50_a_64	masculino	no	no	1
Asentamiento Luján	2020-08-01	hasta_19	femenino	no	no	1
Asentamiento Luján	2020-08-01	20_a_49	femenino	no	no	2
Asentamiento Luján	2020-08-01	20_a_49	masculino	no	no	2
Asentamiento Luján	2020-09-01	hasta_19	masculino	no	no	1
Asentamiento Luján	2020-09-01	20_a_49	femenino	si	no	1
Asentamiento Luján	2020-09-01	20_a_49	masculino	no	no	1
Asentamiento Luján	2020-09-01	50_a_64	femenino	no	no	1
Asentamiento Luján	2020-10-01	20_a_49	masculino	si	no	1
Asentamiento Luján	2020-12-01	20_a_49	femenino	si	no	1
Asentamiento Luján	2020-12-01	20_a_49	masculino	no	no	1
Asentamiento Luján	2021-01-01	hasta_19	masculino	no	no	1
Asentamiento Luján	2021-02-01	50_a_64	femenino	no	no	1
Asentamiento Luján	2021-03-01	20_a_49	masculino	si	no	1
