orderDate,day_of_week,category,name,state,orders,unit_price,total
2022-06-24,5,Classic,Margherita Pizza Large,CA,93,18,1674
2022-07-28,4,Classic,Hawaiian Pizza Small,CA,82,12,984
2022-07-28,4,Classic,Hawaiian Pizza Large,CA,119,19,2261
2022-01-13,4,Vegetarian,Sicilian Pizza Extra Large,NV,17,23,391
2022-09-21,3,Classic,Hawaiian Pizza Medium,CA,198,16,3168
2022-10-10,1,Classic,Hawaiian Pizza Large,NV,27,19,513
2022-10-10,1,Classic,Margherita Pizza Small,NV,30,11,330
2022-12-12,1,Specialty,Oxtail Pizza Small,CA,78,13,1014
2022-06-18,6,Classic,Meat Lover's Pizza Extra Large,CA,152,25,3800
2022-09-26,1,Specialty,BBQ Chicken Pizza Medium,CA,76,17,1292
2022-09-26,1,Classic,Margherita Pizza Extra Large,CA,75,21,1575
2022-10-08,6,Classic,Pepperoni Pizza Large,CA,128,20,2560
2022-10-08,6,Classic,Margherita Pizza Extra Large,CA,113,21,2373
2022-03-21,1,Classic,Meat Lover's Pizza Small,CA,99,14,1386
2022-07-16,6,Specialty,Oxtail Pizza Small,NV,39,13,507
2022-01-10,1,Classic,Pepperoni Pizza Large,CA,83,20,1660
2022-08-17,3,Classic,Hawaiian Pizza Large,CA,137,19,2603
2022-08-17,3,Classic,Pepperoni Pizza Large,CA,74,20,1480
2022-07-13,3,Classic,Margherita Pizza Small,NV,49,11,539
2022-01-13,4,Classic,Hawaiian Pizza Small,NV,28,12,336
2022-01-13,4,Classic,Hawaiian Pizza Medium,NV,68,16,1088
2022-09-07,3,Classic,Pepperoni Pizza Medium,CA,139,17,2363
2022-10-24,1,Classic,Margherita Pizza Large,CA,96,18,1728
2022-01-31,1,Classic,Hawaiian Pizza Large,CA,93,19,1767
2022-03-23,3,Classic,Hawaiian Pizza Small,NV,28,12,336
2022-10-26,3,Classic,Hawaiian Pizza Small,CA,59,12,708
2022-10-26,3,Classic,Hawaiian Pizza Extra Large,CA,96,22,2112
2022-07-02,6,Classic,Margherita Pizza Medium,NV,42,15,630
2022-12-11,0,Classic,Meat Lover's Pizza Extra Large,CA,217,25,5425
2022-03-19,6,Classic,Hawaiian Pizza Large,NV,66,19,1254
2022-07-20,3,Classic,Meat Lover's Pizza Large,NV,29,22,638
2022-04-14,4,Classic,Hawaiian Pizza Medium,CA,160,16,2560
2022-09-17,6,Classic,Margherita Pizza Small,CA,132,11,1452
2022-03-09,3,Specialty,Buffalo Chicken Pizza Extra Large,CA,11,23,253
2022-03-09,3,Specialty,Buffalo Chicken Pizza Large,CA,32,20,640
2022-06-01,3,Classic,Pepperoni Pizza Medium,CA,171,17,2907
2022-06-01,3,Classic,Margherita Pizza Small,CA,125,11,1375
2022-04-30,6,Specialty,Oxtail Pizza Small,CA,95,13,1235
2022-03-31,4,Classic,Hawaiian Pizza Small,CA,86,12,1032
2022-03-31,4,Specialty,BBQ Chicken Pizza Small,CA,17,13,221
2022-03-20,0,Specialty,Buffalo Chicken Pizza Extra Large,NV,5,23,115
2022-01-30,0,Classic,Meat Lover's Pizza Large,CA,106,22,2332
2022-12-15,4,Specialty,BBQ Chicken Pizza Large,NV,22,20,440
2022-07-20,3,Classic,Margherita Pizza Large,NV,23,18,414
2022-11-03,4,Classic,Pepperoni Pizza Extra Large,NV,26,23,598
2022-11-03,4,Classic,Margherita Pizza Small,NV,30,11,330
2022-07-24,0,Specialty,Oxtail Pizza Small,NV,24,13,312
2022-06-30,4,Classic,Meat Lover's Pizza Extra Large,CA,124,25,3100
2022-10-23,0,Classic,Pepperoni Pizza Extra Large,CA,101,23,2323
2022-09-02,5,Specialty,BBQ Chicken Pizza Large,CA,51,20,1020
2022-07-11,1,Classic,Hawaiian Pizza Medium,CA,177,16,2832
2022-07-11,1,Classic,Meat Lover's Pizza Extra Large,CA,114,25,2850
2022-07-11,1,Classic,Pepperoni Pizza Small,CA,95,13,1235
2022-07-11,1,Classic,Meat Lover's Pizza Medium,CA,82,19,1558
2022-03-05,6,Classic,Margherita Pizza Extra Large,CA,119,21,2499
2022-03-05,6,Classic,Pepperoni Pizza Large,CA,134,20,2680
2022-09-04,0,Classic,Hawaiian Pizza Extra Large,NV,46,22,1012
2022-11-02,3,Classic,Margherita Pizza Large,CA,75,18,1350
2022-12-06,2,Classic,Meat Lover's Pizza Small,NV,56,14,784
2022-12-26,1,Classic,Margherita Pizza Medium,CA,71,15,1065
2022-09-19,1,Classic,Pepperoni Pizza Medium,CA,167,17,2839
2022-09-17,6,Specialty,Oxtail Pizza Small,CA,62,13,806
2022-09-17,6,Classic,Meat Lover's Pizza Small,CA,190,14,2660
2022-05-23,1,Classic,Hawaiian Pizza Large,NV,39,19,741
2022-05-23,1,Classic,Meat Lover's Pizza Large,NV,30,22,660
2022-10-10,1,Specialty,BBQ Chicken Pizza Medium,CA,65,17,1105
2022-08-26,5,Classic,Hawaiian Pizza Small,CA,98,12,1176
2022-08-26,5,Classic,Pepperoni Pizza Medium,CA,171,17,2907
2022-09-14,3,Classic,Pepperoni Pizza Extra Large,CA,81,23,1863
2022-09-14,3,Classic,Meat Lover's Pizza Small,CA,140,14,1960
2022-02-14,1,Classic,Pepperoni Pizza Medium,CA,194,17,3298
2022-11-29,2,Classic,Hawaiian Pizza Extra Large,CA,93,22,2046
2022-11-29,2,Classic,Meat Lover's Pizza Large,CA,53,22,1166
2022-02-12,6,Classic,Hawaiian Pizza Extra Large,CA,159,22,3498
2022-03-21,1,Specialty,BBQ Chicken Pizza Large,CA,55,20,1100
2022-03-21,1,Classic,Pepperoni Pizza Medium,CA,183,17,3111
2022-03-22,2,Classic,Pepperoni Pizza Small,CA,70,13,910
2022-01-25,2,Vegetarian,Veggie Pizza Large,CA,11,19,209
2022-01-25,2,Specialty,BBQ Chicken Pizza Medium,CA,49,17,833
2022-02-28,1,Classic,Margherita Pizza Small,CA,100,11,1100
2022-04-11,1,Classic,Pepperoni Pizza Medium,NV,61,17,1037
2022-03-23,3,Classic,Hawaiian Pizza Extra Large,NV,46,22,1012
2022-03-30,3,Classic,Meat Lover's Pizza Extra Large,CA,123,25,3075
2022-02-24,4,Classic,Margherita Pizza Medium,CA,67,15,1005
2022-02-24,4,Classic,Meat Lover's Pizza Small,CA,94,14,1316
2022-04-03,0,Classic,Hawaiian Pizza Extra Large,CA,166,22,3652
2022-04-03,0,Classic,Meat Lover's Pizza Extra Large,CA,153,25,3825
2022-07-20,3,Classic,Meat Lover's Pizza Extra Large,NV,37,25,925
2022-02-13,0,Classic,Hawaiian Pizza Medium,CA,249,16,3984
2022-11-08,2,Classic,Hawaiian Pizza Extra Large,NV,29,22,638
2022-11-08,2,Classic,Margherita Pizza Large,NV,27,18,486
2022-03-04,5,Classic,Margherita Pizza Large,CA,90,18,1620
2022-03-04,5,Classic,Hawaiian Pizza Large,CA,136,19,2584
2022-11-13,0,Classic,Hawaiian Pizza Medium,CA,251,16,4016
2022-12-03,6,Classic,Pepperoni Pizza Medium,CA,200,17,3400
2022-06-10,5,Classic,Pepperoni Pizza Extra Large,NV,51,23,1173
2022-08-26,5,Classic,Margherita Pizza Extra Large,CA,106,21,2226
2022-08-26,5,Classic,Meat Lover's Pizza Extra Large,CA,175,25,4375
2022-02-23,3,Classic,Hawaiian Pizza Medium,CA,173,16,2768
2022-10-20,4,Classic,Margherita Pizza Medium,CA,72,15,1080
2022-06-29,3,Classic,Hawaiian Pizza Medium,CA,178,16,2848
2022-04-01,5,Classic,Meat Lover's Pizza Medium,CA,95,19,1805
2022-03-09,3,Classic,Hawaiian Pizza Medium,CA,145,16,2320
2022-03-09,3,Classic,Pepperoni Pizza Small,CA,87,13,1131
2022-11-06,0,Classic,Meat Lover's Pizza Small,CA,138,14,1932
2022-01-30,0,Classic,Margherita Pizza Small,NV,57,11,627
2022-05-11,3,Classic,Pepperoni Pizza Medium,CA,175,17,2975
2022-09-08,4,Classic,Hawaiian Pizza Extra Large,CA,82,22,1804
2022-06-04,6,Classic,Margherita Pizza Large,NV,48,18,864
2022-06-04,6,Classic,Hawaiian Pizza Large,NV,58,19,1102
2022-03-27,0,Vegetarian,Sicilian Pizza Medium,NV,3,17,51
2022-03-27,0,Classic,Pepperoni Pizza Extra Large,NV,27,23,621
2022-06-11,6,Classic,Margherita Pizza Medium,CA,139,15,2085
2022-12-15,4,Classic,Meat Lover's Pizza Small,CA,137,14,1918
2022-12-15,4,Classic,Pepperoni Pizza Large,CA,66,20,1320
2022-06-30,4,Classic,Meat Lover's Pizza Small,CA,104,14,1456
2022-04-09,6,Classic,Meat Lover's Pizza Medium,CA,123,19,2337
2022-04-09,6,Classic,Pepperoni Pizza Medium,CA,260,17,4420
2022-04-23,6,Classic,Hawaiian Pizza Medium,NV,85,16,1360
2022-04-23,6,Classic,Meat Lover's Pizza Extra Large,NV,50,25,1250
2022-06-18,6,Classic,Pepperoni Pizza Medium,CA,233,17,3961
2022-07-31,0,Classic,Pepperoni Pizza Medium,CA,165,17,2805
2022-09-03,6,Classic,Pepperoni Pizza Medium,CA,218,17,3706
2022-04-26,2,Specialty,BBQ Chicken Pizza Large,NV,12,20,240
2022-04-26,2,Classic,Margherita Pizza Extra Large,NV,33,21,693
2022-04-26,2,Classic,Pepperoni Pizza Extra Large,NV,27,23,621
2022-06-15,3,Vegetarian,Sicilian Pizza Small,NV,10,13,130
2022-06-15,3,Specialty,BBQ Chicken Pizza Medium,NV,9,17,153
2022-12-05,1,Classic,Hawaiian Pizza Small,CA,67,12,804
2022-12-05,1,Classic,Pepperoni Pizza Small,CA,115,13,1495
2022-03-04,5,Classic,Meat Lover's Pizza Large,NV,43,22,946
2022-11-02,3,Classic,Pepperoni Pizza Large,CA,56,20,1120
2022-10-06,4,Specialty,BBQ Chicken Pizza Large,CA,46,20,920
2022-11-13,0,Classic,Meat Lover's Pizza Extra Large,CA,205,25,5125
2022-01-06,4,Classic,Meat Lover's Pizza Medium,CA,60,19,1140
2022-01-06,4,Vegetarian,Sicilian Pizza Medium,CA,15,17,255
2022-11-13,0,Classic,Margherita Pizza Medium,CA,85,15,1275
2022-12-02,5,Classic,Pepperoni Pizza Medium,CA,149,17,2533
2022-01-09,0,Classic,Pepperoni Pizza Large,CA,156,20,3120
2022-03-30,3,Classic,Meat Lover's Pizza Medium,CA,73,19,1387
2022-12-24,6,Vegetarian,Sicilian Pizza Small,NV,12,13,156
2022-12-02,5,Classic,Margherita Pizza Medium,CA,76,15,1140
2022-12-02,5,Classic,Hawaiian Pizza Large,CA,132,19,2508
2022-01-10,1,Specialty,BBQ Chicken Pizza Medium,CA,50,17,850
2022-03-19,6,Specialty,BBQ Chicken Pizza Medium,CA,91,17,1547
2022-03-19,6,Classic,Hawaiian Pizza Small,CA,109,12,1308
2022-01-31,1,Classic,Hawaiian Pizza Extra Large,NV,28,22,616
2022-02-20,0,Classic,Hawaiian Pizza Extra Large,CA,162,22,3564
2022-02-20,0,Classic,Meat Lover's Pizza Extra Large,CA,141,25,3525
2022-02-20,0,Classic,Pepperoni Pizza Medium,CA,225,17,3825
2022-03-19,6,Specialty,Buffalo Chicken Pizza Large,CA,71,20,1420
2022-01-10,1,Classic,Meat Lover's Pizza Large,CA,69,22,1518
2022-08-30,2,Classic,Hawaiian Pizza Medium,CA,168,16,2688
2022-08-30,2,Vegetarian,Sicilian Pizza Small,CA,20,13,260
2022-08-21,0,Vegetarian,Sicilian Pizza Extra Large,CA,40,23,920
2022-04-28,4,Classic,Pepperoni Pizza Medium,CA,177,17,3009
2022-06-16,4,Classic,Meat Lover's Pizza Large,NV,39,22,858
2022-08-19,5,Classic,Meat Lover's Pizza Large,CA,104,22,2288
2022-04-24,0,Classic,Pepperoni Pizza Extra Large,CA,101,23,2323
2022-04-18,1,Classic,Meat Lover's Pizza Extra Large,CA,138,25,3450
2022-12-31,6,Classic,Pepperoni Pizza Large,NV,18,20,360
2022-12-16,5,Classic,Margherita Pizza Small,CA,121,11,1331
2022-01-19,3,Classic,Meat Lover's Pizza Extra Large,CA,120,25,3000
2022-12-31,6,Classic,Meat Lover's Pizza Small,NV,59,14,826
2022-12-31,6,Classic,Margherita Pizza Medium,NV,24,15,360
2022-06-07,2,Classic,Hawaiian Pizza Small,NV,35,12,420
2022-04-17,0,Classic,Margherita Pizza Extra Large,CA,108,21,2268
2022-05-05,4,Classic,Pepperoni Pizza Medium,CA,153,17,2601
2022-09-28,3,Classic,Hawaiian Pizza Extra Large,CA,87,22,1914
2022-09-28,3,Classic,Meat Lover's Pizza Large,CA,90,22,1980
2022-06-05,0,Specialty,BBQ Chicken Pizza Large,CA,61,20,1220
2022-06-05,0,Classic,Margherita Pizza Large,CA,118,18,2124
2022-07-10,0,Classic,Hawaiian Pizza Medium,CA,242,16,3872
2022-07-10,0,Classic,Pepperoni Pizza Small,CA,123,13,1599
2022-07-10,0,Specialty,BBQ Chicken Pizza Medium,CA,71,17,1207
2022-09-25,0,Vegetarian,Sicilian Pizza Small,CA,27,13,351
2022-09-25,0,Classic,Hawaiian Pizza Small,CA,108,12,1296
2022-06-23,4,Classic,Pepperoni Pizza Extra Large,CA,103,23,2369
2022-02-25,5,Classic,Hawaiian Pizza Large,CA,126,19,2394
2022-02-25,5,Classic,Pepperoni Pizza Small,CA,94,13,1222
2022-07-02,6,Classic,Pepperoni Pizza Small,CA,122,13,1586
2022-07-02,6,Specialty,BBQ Chicken Pizza Small,CA,50,13,650
2022-07-02,6,Classic,Margherita Pizza Large,CA,105,18,1890
2022-07-02,6,Classic,Pepperoni Pizza Large,CA,127,20,2540
2022-10-28,5,Classic,Pepperoni Pizza Medium,CA,139,17,2363
2022-10-28,5,Classic,Meat Lover's Pizza Small,CA,178,14,2492
2022-07-04,1,Classic,Pepperoni Pizza Small,CA,77,13,1001
2022-08-17,3,Classic,Meat Lover's Pizza Small,CA,123,14,1722
2022-04-15,5,Classic,Hawaiian Pizza Medium,CA,208,16,3328
2022-04-15,5,Classic,Pepperoni Pizza Medium,CA,203,17,3451
2022-01-08,6,Classic,Pepperoni Pizza Medium,CA,240,17,4080
2022-03-02,3,Classic,Hawaiian Pizza Medium,CA,155,16,2480
2022-03-02,3,Classic,Hawaiian Pizza Extra Large,CA,96,22,2112
2022-02-12,6,Classic,Margherita Pizza Large,NV,42,18,756
2022-10-18,2,Classic,Meat Lover's Pizza Extra Large,CA,154,25,3850
2022-07-11,1,Classic,Margherita Pizza Large,CA,76,18,1368
2022-07-11,1,Classic,Margherita Pizza Medium,CA,84,15,1260
2022-05-07,6,Vegetarian,Veggie Pizza Large,CA,14,19,266
2022-01-07,5,Classic,Pepperoni Pizza Large,CA,105,20,2100
2022-01-07,5,Classic,Hawaiian Pizza Small,CA,76,12,912
2022-08-05,5,Classic,Meat Lover's Pizza Extra Large,CA,150,25,3750
2022-08-05,5,Vegetarian,Veggie Pizza Large,CA,13,19,247
2022-07-26,2,Classic,Hawaiian Pizza Extra Large,NV,36,22,792
2022-09-11,0,Classic,Hawaiian Pizza Extra Large,NV,36,22,792
2022-06-09,4,Classic,Meat Lover's Pizza Extra Large,CA,126,25,3150
2022-09-29,4,Specialty,Oxtail Pizza Large,NV,20,20,400
2022-09-29,4,Classic,Hawaiian Pizza Large,NV,42,19,798
2022-04-05,2,Classic,Meat Lover's Pizza Medium,CA,97,19,1843
2022-03-18,5,Classic,Hawaiian Pizza Small,CA,103,12,1236
2022-11-15,2,Classic,Meat Lover's Pizza Large,CA,77,22,1694
2022-08-25,4,Classic,Margherita Pizza Small,CA,99,11,1089
2022-08-25,4,Classic,Margherita Pizza Extra Large,CA,80,21,1680
2022-08-28,0,Classic,Margherita Pizza Small,NV,42,11,462
